Type, Length, Width, e_L, e_W
C,     54.6,    40.8,   0.7,     0.7
C,		61,		43,		1,		1
C,		54,		42,		1,		1	
C,		57,		42,		1,		1
C,		53,		43,		1,		1
C,		57,		46,		1,		1
C,		59,		43,		1,		1
C,		56,		43,		1,		1
C,		59,		43,		1,		1
C,		58,		42,		1,		1
C,		57,		42,		1,		1
C,		59,		44,		1,		1
C,		53,		42,		1,		1
C,              56,              44,              1,             1
C,              58,              42,              1,             1
C,              61,              45,              1,             1
C,              59,              45,              1,             1
C,              57,              44,              1,             1
C,              53,              42,              1,             1
C,              59,              43,              1,             1
C,              60,              46,              1,             1
C,              61,              46,              1,             1
C,              52,              42,              1,             1
C,	60,	46,	1,	1,
C,	61,	46,	1,	1,
C,	60,	45,	1,	1,
C,	59,	47,	1,	1,
C,	57,	49,	1,	1,
C,	64,	45,	1,	1,
C,	62,	46,	1,	1,
C,	58,	48,	1,	1,
C,	62,	45,	1,	1,
C,	61,	48,	1,	1,
C,      51,       38,      1,     1
C,      57,       40,      1,     1
C,      55,       40,      1,     1
C,      57,       41,      1,     1
C,      52,       41,      1,     1
C,      52,       41,      1,     1
C,      53,       39,      1,     1 
C,      53,       41,      1,     1
C,      52,       39,      1,     1
C,      54,       40,      1,     1
Q,      31,       21,      1,     1
Q,      30,       21,      1,     1
Q,      29,       19,      1,     1
Q,      28,       22,      1,     1
Q,      30,       22,      1,     1
Q,      32,       21,      1,     1
Q,      29,       24,      1,     1
Q,      27,       22,      1,     1
Q,      31,       21,      1,     1
Q,      29,       21,      1,     1
C,		 59,			   43, 			 1,			 0
C,		 56,			   44,			 3,			 2
C,		 56,			   42,			 3,			 2
C,		 61,			   44,			 5,			 2
C,		 55,			   42,			 5,			 2
C,		 62,			   43,			 6,			 0
C,		 56,			   42,		 	 3,			 2
C,		 58,			   43,			 0,			 0
C,		 57,			   43,		 	 1,			 0
C,		 57,			   43,		  	 1,			 0
C,		 59,			   43,		  	 1,			 0
C,		 57,			   42,		   	 1,			 2
C,		 57,		 	   41,			 1,			 4
C,		 59,			   43,			 1,			 0
C,		 59,			   44,			 1,			 2
C,            55,        40,     1,      1
C,            50,        39,     1,      1 
C,            54,        42,     1,      1 
C,            60,        42,     1,      1 
C,            52,        43,     1,      1  
C,            50,        41,     1,      1
C,            51,        41,     1,      1 
C,            60,        43,     1,      1
C,            60,        42,     1,      1
C,            59,        43,     1,      1
C,       62,        53,        1,      1
C,       59,        46,        1,      1
C,       64,        52,        1,      1
C,       60,        51,        1,      1
C,       57,        55,        1,      1
C,       62,        50,        1,      1
C,       60,        50,        1,      1
C,       55,        49,        1,      1
C,       61,        50,        1,      1
C,       58,        46,        1,      1
C,       57,        53,        1,      1
C,        61,	 	44,      3,        3
C,        61,      49 ,     1,        1
C,        60,      43 ,     1,        1
C,        55,      43 ,     2,        1
C,        58,      44 ,     2,        2
C,        59,      48 ,     3,        1
C,        59,      48 ,     3,        2
C,        57,      47 ,     1,        1
C,        56,      45 ,     2,        1
C,        60,      46 ,     2,        3
C,       58,     45,     2,      1
C,       63,     48,     2,      1 
C,       64,     49,     2,      1
C,       60,     46,     2,      1
C,       62,     47,     2,      1
C,       60,     48,     2,      1
C,       59,     46,     2,      1
C,       61,     45,     2,      1
C,       58,     46,     2,      1
C,       60,     44,     2,      1
C,       60,      44,      1,        1
C,       53,      42,      1,        1
C,       56,      44,      1,        1
C,       58,      44,      1,        1
C,       55,      43,      1,        1
C,       59,      44,      1,        1
C,       54,      43,      1,        1
C,       56,      44,      1,        1
C,       57,      45,      1,        1
C,       52,      43,      1,        1
C,     62.6,    46.8,   1,    1   
C,     61.8,    45.6,   1,    1
C,     59.6,    46.4,   1,    1
C,     59.8,    47.2,   1,    1
C,     60.2,    48.2,   1,    1
C,     61,      45.8,   1,    1
C,     61.6,    47.8,   1,    1
C,     61,      46.8,   1,    1
C,     59.4,    46,     1,    1
C,     60,      45.8,   1,    1
C,     60.6,    47,     1,    1
C,     58.8,    45.6,   1,    1
C,	59,	44,	1,	1		
C,	57,	41,	1,	1		
C,	60,	44,	1,	1		
C,	59,	43,	1,	1		
C,	60,	45,	1,	1		
C,	61,	45,	1,	1		
C,	57,	42,	1,	1		
C,	63,	47,	1,	1		
C,	62,	45,	1,	1		
C,	61,	44,	1,	1		
C,      56,      44,     1,        1
C,      57,      43,     1,        1
C,      55,      42,     1,        1
C,      54,      42,     1,        1
C,      55,      42,     1,        1
C,      52,      42,     1,        1
C,      54,      42,     1,        1
C,      54,      42,     1,        1
C,      54,      41,     1,        1
C,      56,      44,     1,        1
C,      54,      43,     1,        1
C,      57,      43,     1,        1
C,      56,      41,     1,        1
C,      53,      43,     1,        1
C,      55,      42,     1,        1
C,      60,	   45,        1,        1
C,      57,	   43,	      1,        1 
C, 	55,	   45,	      1,        1  
C, 	61,        47,	      1,        1	
C, 	58, 	   44,        1,        1
C, 	56, 	   45,	      1,        1 
C, 	59,	   47,        1,        1
C, 	55, 	   44,        1,        1
C, 	54,	   46,        1,        1 
C, 	55, 	   46,        1,        1 
C,	64,	46,	1,	1	
C,	62,	45,	1,	1	
C,	62,	47,	1,	1	
C,	61,	48,	1,	1	
C,	64,	45,	1,	1	
C,	65,	45,	1,	1	
C,	61,	48,	1,	1	
C,	60,	45,	1,	1	
C,	63,	47,	1,	1	
C,	58,	45,	1,	1	
C,    59,     49,    1,   1
C,    56,     44,    1,   1
C,    60,     42,    1,   1
C,    59,     45,    1,   1
C,    56,     43,    1,   1
C,    60,     44,    1,   1
C,    60,     43,    1,   1
C,    58,     43,    1,   1
C,    57,     44,    1,   1
C,    59,     43,    1,   1
C,    59,     43,    1,   1
C,    58,     44,    1,   1
C,	52,	38,	1,	1
C,	53,	37,	1,	1
C,	56,	40,	1,	1
C,	54,	41,	1,	1
C,	52,	39,	1,	1
C,	53,	40,	1,	1
C,	53,	39,	1,	1
C,	51,	39,	1,	1
C,	52,	40,	1,	1
C,	54,	40,	1,	1
C,	67,	48,	1,	1		
C,	70,	47,	1,	1
C,	69,	49,	1,	1
C,	63,	49,	1,	1
C,	66,	47,	1,	1
C,	67,	54,	1,	1	
C,	59,	47,	1,	1
C,	67,	49,	1,	1
C,	65,	48,	1,	1	
C,	62,	48,	1,	1
C,55,43,1,1
C,56,42,1,1
C,58,43,1,1
C,59,44,1,1
C,56,46,1,1
C,56,44,1,1
C,54,43,1,1
C,56,44,1,1
C,58,42,1,1
C,57,43,1,1
C,    65,     45,    2,   2
C,    55,     43,    7,   5
C,    63,     45,    2,   0
C,    63,     42,    2,   5
C,    65,     44,    3,   0
C,    63,     41,    1,   9
C,    65,     43,    0,   2
C,    57,     46,    5,   2
C,    62,     43,    3,   2
C,    62,     45,    5,   2
C,    62,     42,    0,   2
C,    64,     48,    2,   6
C,      59,     43,   1,   1
C,      56,     43,   1,   1
C,      58,     45,   1,   1
C,      58,     42,   1,   1
C,      57,     42,   1,   1
C,      60,     45,   1,   1
C,      58,     45,   1,   1
C,      60,     46,   1,   1
C,      57,     45,   1,   1
C,      57,     43,   1,   1
C,	56,	43,	2,	2
C,	57,	42,	2,	2
C,	55,	42,	2,	2
C,	55,	43,	2,	2
C,	56,	42,	2,	2
C,	53,	43,	2,	2
C,	60,	42,	2,	2
C,	57,	44,	2,	2
C,	59,	42,	2,	2
C,	55,	44,	2,	2
C,        43,      57,     1.3,     1.4
C,        45,      55,     1.2,     1.2
C,        42,      57,     1.5,     1.5
C,        41,      56,     1.5,     1.7
C,        42,      56,     1.4,     1.4
C,        41,      55,     1.1,     1.3
C,        43,      56,     1.3,     1.3
C,        44,      57,     1.5,     1.6
C,        43,      57,     1.4,     1.3
C,        41,      55,     1.2,     1.2
C,    60,     48,    1,  1
C,    65,     50,    1,  1
C,    63,     51,    1,  1
C,    62,     51,    1,  1
C,    65,     52,    1,  1
C,    62,     49,    1,  1
C,    60,     49,    1,  1
C,    64,     50,    1,  1
C,    59,     53,    1,  1
C,    62,     47,    1,  1
C,	57,	46,	2,	2
C,	66,	47,	2,	2
C,	61,	50,	2,	2
C,	60,	49,	2,	2
C,	57,	47,	2,	2
C,	62,	48,	2,	2
C,	63,	49,	2,	2
C,	57,	46,	2,	2
C,	61,	47,	2,	2
C,	58,	44,	2,	2
C, 53, 41, 1, 1
C, 57, 44, 1, 1
C, 55, 44, 1, 1
C, 53, 41, 1, 1
C, 54, 43, 1, 1
C, 55, 42, 1, 1
C, 54, 41, 1, 1
C, 58, 44, 1, 1
C, 52, 41, 1, 1
C, 55, 42, 1, 1
C, 51, 40, 1, 1
C, 55, 41, 1, 1
